index,Type,Core_Density,BiC A,BiC B,CC AB,F1,F1_Individual_Nodes_Considered,Team_Strength,Number_of_Self_Activations,Self Activation Status,Team Size
Density 40%_Without Self Activation_Network_12,Lowered Density,Density 40%,0.73433650597053,0.7679536167483342,-0.944201751452822,0.7650078988941548,0.3223313021891221,0.3650000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_13,Lowered Density,Density 40%,0.7653999421145399,0.7504562851037103,-0.9341014441572304,0.79129280930115,0.2715152281056489,0.4350000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_14,Lowered Density,Density 40%,0.5852183408127409,0.5828648905630501,-0.9493071370394084,0.5572721363931803,0.1750912454377281,0.4270000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_15,Lowered Density,Density 40%,0.6953213835179822,0.6710771569288225,-0.9521892087807692,0.6869780980102114,0.2941260676623562,0.449,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_16,Lowered Density,Density 40%,0.7173461382759155,0.7136997891566471,-0.952406179029603,0.7111561474618799,0.3152866242038216,0.445,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_17,Lowered Density,Density 40%,0.7056215540565455,0.7109578049330025,-0.9532620805738018,0.7111167384147885,0.2911623195745758,0.4450000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_18,Lowered Density,Density 40%,0.6079405127972839,0.5897792894182653,-0.9546498331981788,0.580824088748019,0.21138249277524,0.4380000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_19,Lowered Density,Density 40%,0.7590253245840445,0.7391238013933752,-0.9414589446048656,0.7554339641584258,0.3400933688067868,0.447,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_20,Lowered Density,Density 40%,0.7160329282350483,0.722285628737277,-0.9567419295984948,0.72704902517509,0.3203198939996214,0.449,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_21,Lowered Density,Density 40%,0.6405066158866078,0.6230145735728844,-0.9501224512605726,0.6201772249435852,0.2232924211569156,0.418,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_22,Lowered Density,Density 40%,0.6976758660024054,0.7307649428061773,-0.9506852420012524,0.7225548902195609,0.2825460190729651,0.435,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_23,Lowered Density,Density 40%,0.6241390058046388,0.6648735836131647,-0.9461245066128008,0.626418152350081,0.2447802459719706,0.435,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_24,Lowered Density,Density 40%,0.7999649814995302,0.7941674908847725,-0.9208848596110716,0.8234468234468234,0.3099333099333099,0.448,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_25,Lowered Density,Density 40%,0.7908165718580507,0.8172428258680906,-0.9289508763090546,0.8355859709153123,0.3118334759053321,0.322,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_26,Lowered Density,Density 40%,0.6357900619784522,0.6076950944932361,-0.9550049806591988,0.5966172012127015,0.2333386521993511,0.316,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_27,Lowered Density,Density 40%,0.7150555389527574,0.7533492653195584,-0.946631022754608,0.7288117935094025,0.3218732093556284,0.3520000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_28,Lowered Density,Density 40%,0.7718070379449005,0.7372795635269868,-0.9464449494431338,0.768399872921741,0.3190193794345017,0.4400000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_29,Lowered Density,Density 40%,0.8560231981772317,0.8110198958535568,-0.9233054176270912,0.8607200374045405,0.3775780560029092,0.443,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_30,Lowered Density,Density 40%,0.7430384540913835,0.7780290132270303,-0.9381709621821952,0.7841515631415332,0.3190216434981524,0.4290000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_31,Lowered Density,Density 40%,0.6216477464204744,0.7004340219858199,-0.9584871652205252,0.6406915765322845,0.2517207472959685,0.448,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_32,Lowered Density,Density 40%,0.6846296488144286,0.647482318448919,-0.9498156860884296,0.6691963612604915,0.2625018847062371,0.444,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_33,Lowered Density,Density 40%,0.7202666743429462,0.6749955111882565,-0.9527445085147312,0.7090645545374541,0.280581870890925,0.447,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_34,Lowered Density,Density 40%,0.6884801371070658,0.649329001292703,-0.9464176776046308,0.6477775136676966,0.2275730924649394,0.441,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_35,Lowered Density,Density 40%,0.6328713751745074,0.623168435503503,-0.9461692038530892,0.6100475624256837,0.1980975029726516,0.3,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_36,Lowered Density,Density 40%,0.778290431272275,0.761136348092448,-0.930697054086916,0.7943838604143948,0.3095965103598691,0.445,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_37,Lowered Density,Density 40%,0.6780461979153194,0.6913038174284218,-0.958866819597766,0.6894918861399308,0.2866187815908486,0.4440000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_38,Lowered Density,Density 40%,0.7091341045337484,0.6829885316584535,-0.945700427460278,0.6919599807135969,0.2346311475409836,0.4330000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_39,Lowered Density,Density 40%,0.7156263885817966,0.7417645828682375,-0.9393918615287744,0.739834753757075,0.2544401795589096,0.4320000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_40,Lowered Density,Density 40%,0.6781537870572703,0.6242107864230414,-0.9457062854630416,0.6350890286810961,0.2131890393432135,0.431,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_41,Lowered Density,Density 40%,0.7240342639719602,0.748988979070946,-0.9462763411471145,0.7561705310396409,0.2794814260782847,0.436,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_42,Lowered Density,Density 40%,0.6537807544861194,0.6489130060141663,-0.9619471794968024,0.6426753618578018,0.3011372673771274,0.449,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_43,Lowered Density,Density 40%,0.7312964120746567,0.7272031300935656,-0.936926385816058,0.7404570872842208,0.2362022854364211,0.429,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_44,Lowered Density,Density 40%,0.7248307997840117,0.7244018280581244,-0.950863230466909,0.7356570343809323,0.3033642691415313,0.4500000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_45,Lowered Density,Density 40%,0.8126834535579899,0.8265625457518005,-0.91695474721434,0.852113061068285,0.3542179213821005,0.447,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_46,Lowered Density,Density 40%,0.6426806616160499,0.6500479027743465,-0.9454703475417082,0.6097475301866081,0.2294621295279912,0.445,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_47,Lowered Density,Density 40%,0.7302872408704326,0.6823814182294644,-0.9371775075686232,0.6996388209250844,0.23534894559012,0.435,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_48,Lowered Density,Density 40%,0.8248560877187187,0.8189232924010134,-0.9242206496845752,0.8559386524615115,0.3621729204472282,0.443,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_49,Lowered Density,Density 40%,0.7716456066741553,0.7389538212680653,-0.9403133125856228,0.7772737331267979,0.3178247399867227,0.3550000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_50,Lowered Density,Density 40%,0.6832613385362988,0.6558194916326018,-0.9470757879441302,0.6608342919416359,0.2251014106677968,0.301,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_51,Lowered Density,Density 40%,0.7836218345628367,0.7259586567264718,-0.936260139118974,0.7713466377948148,0.2766430619769415,0.441,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_52,Lowered Density,Density 40%,0.6658878309267735,0.6440165417810406,-0.9518022879977236,0.6340347123157394,0.2461364717070851,0.383,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_53,Lowered Density,Density 40%,0.7141624723949239,0.7227591596654113,-0.9544346826173729,0.7233513065118208,0.3019493985897967,0.443,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_54,Lowered Density,Density 40%,0.7384653360091357,0.7507426743725688,-0.9381488534562296,0.7608646701193424,0.2469601441116865,0.436,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_55,Lowered Density,Density 40%,0.7785504073493056,0.742894970851358,-0.9373473192858288,0.781791221826809,0.2982799525504152,0.4400000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_56,Lowered Density,Density 40%,0.7189036394547649,0.6913780017966631,-0.9490673731200844,0.7176130164603197,0.2702907831696788,0.4430000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_57,Lowered Density,Density 40%,0.801508837500165,0.7944307408099072,-0.9257125444667076,0.8276973568540116,0.3263787141768739,0.4240000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_58,Lowered Density,Density 40%,0.6703452256688995,0.6130357323888834,-0.9565208570195556,0.6345234371509004,0.2587246972608248,0.439,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_59,Lowered Density,Density 40%,0.7567592627930838,0.7324321519312538,-0.9436899178204474,0.757058734712366,0.3262871810357844,0.4390000000000001,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_60,Lowered Density,Density 40%,0.6291137758798492,0.6523924338070634,-0.9531801874746362,0.6382398950396124,0.2596255740021194,0.381,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_61,Lowered Density,Density 40%,0.6599553263298026,0.6102974680830641,-0.9582593571277748,0.6174880271898656,0.2384262835367423,0.335,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_62,Lowered Density,Density 40%,0.5364568100346881,0.4660665412061604,-0.8899734886380282,0.4220637633331369,0.1358359361188048,0.283,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_63,Lowered Density,Density 40%,0.6284295274299141,0.5864803573824905,-0.954948809404757,0.57137937819756,0.2050865800865801,0.386,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_64,Lowered Density,Density 40%,0.7797130916766909,0.7607744476181739,-0.930484416594116,0.7894624116513173,0.2763975155279503,0.454,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_65,Lowered Density,Density 40%,0.70522726922721,0.7578556254155084,-0.940203967826724,0.7424682395644283,0.2632183908045977,0.44,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_66,Lowered Density,Density 40%,0.6546001897324465,0.6634652336622051,-0.9575684058522445,0.6662636669470143,0.23817283431455,0.43,0,Without Self Activation,5.0
Density 40%_Without Self Activation_Network_67,Lowered Density,Density 40%,0.7457126397419999,0.7598348051541668,-0.932631097200604,0.777388847948907,0.2902849422746254,0.4330000000000001,0,Without Self Activation,5.0
