index,Type,Core_Density,BiC A,BiC B,CC AB,F1,F1_Individual_Nodes_Considered,Team_Strength,Self Activation Status,Team Size
Density 20%_With Self Activation_Network_15,Lowered Density,Density 20%,0.5908626996007743,0.59162252783402,-0.9496892040462072,0.5662679747345787,0.1731218922187878,0.805,With Self Activation,5.0
Density 20%_With Self Activation_Network_16,Lowered Density,Density 20%,0.719882984239547,0.6966887278912156,-0.9466570736048002,0.7149503332075946,0.3127960098914455,0.786,With Self Activation,5.0
Density 20%_With Self Activation_Network_17,Lowered Density,Density 20%,0.5869610890793009,0.6086667693347483,-0.949069997706892,0.5561296774731228,0.1887935105703253,0.7149999999999999,With Self Activation,5.0
Density 20%_With Self Activation_Network_18,Lowered Density,Density 20%,0.5999845069868937,0.5869762498142961,-0.949270337251806,0.5716806352007058,0.1680635200705778,0.807,With Self Activation,5.0
Density 20%_With Self Activation_Network_19,Lowered Density,Density 20%,0.6769158522597524,0.6938490603032792,-0.9470113665887562,0.6884033738342065,0.2625868539367592,0.8270000000000002,With Self Activation,5.0
Density 20%_With Self Activation_Network_20,Lowered Density,Density 20%,0.7380057995581771,0.7197738725734587,-0.9421640801523804,0.7201482167670218,0.3659564613246873,0.7950000000000002,With Self Activation,5.0
Density 20%_With Self Activation_Network_21,Lowered Density,Density 20%,0.631515156931561,0.6382734760945517,-0.9529981667964692,0.6297539525360009,0.249236346547615,0.7289999999999999,With Self Activation,5.0
Density 20%_With Self Activation_Network_22,Lowered Density,Density 20%,0.6187736677736445,0.6003052889628298,-0.9403467938988148,0.5696062825002653,0.1193675050408574,0.5810000000000001,With Self Activation,5.0
Density 20%_With Self Activation_Network_23,Lowered Density,Density 20%,0.6197538149605317,0.6285470900322051,-0.9498678827674104,0.5954509304914903,0.2213774455225067,0.8109999999999999,With Self Activation,5.0
Density 20%_With Self Activation_Network_24,Lowered Density,Density 20%,0.7324428553900147,0.715834324803831,-0.942884088868656,0.7178185844790994,0.3611239272861493,0.812,With Self Activation,5.0
Density 20%_With Self Activation_Network_25,Lowered Density,Density 20%,0.6106951542068876,0.6100266645110362,-0.9423693177254032,0.5434724484091296,0.1393986534114387,0.808,With Self Activation,5.0
Density 20%_With Self Activation_Network_26,Lowered Density,Density 20%,0.4913386676091646,0.494593023393263,-0.939828624900474,0.4315666336722757,0.1169801133807252,0.4580000000000001,With Self Activation,5.0
Density 20%_With Self Activation_Network_27,Lowered Density,Density 20%,0.6708811020413965,0.6745435454642807,-0.9479148840281316,0.6804241903124104,0.2480653482373173,0.788,With Self Activation,5.0
Density 20%_With Self Activation_Network_28,Lowered Density,Density 20%,0.8085439721547482,0.8038308423841983,-0.915921822419527,0.8269094862734439,0.4254960587116064,0.8000000000000002,With Self Activation,5.0
Density 20%_With Self Activation_Network_29,Lowered Density,Density 20%,0.637131629827192,0.6442226308289558,-0.9467598280532948,0.6197430934365652,0.1918587600445774,0.8110000000000002,With Self Activation,5.0
Density 20%_With Self Activation_Network_30,Lowered Density,Density 20%,0.5904091975789764,0.6007686753407152,-0.9481941604242596,0.556197566531474,0.1901494527473748,0.791,With Self Activation,5.0
Density 20%_With Self Activation_Network_31,Lowered Density,Density 20%,0.6658430455541529,0.6608053285884281,-0.946137011576611,0.6651656159311518,0.2269922278928583,0.7989999999999999,With Self Activation,5.0
Density 20%_With Self Activation_Network_32,Lowered Density,Density 20%,0.6046293238369708,0.592718766322056,-0.9495844317940784,0.5822443533522242,0.1520812126881069,0.777,With Self Activation,5.0
Density 20%_With Self Activation_Network_33,Lowered Density,Density 20%,0.7048746248966054,0.7003761604359987,-0.944335044439652,0.7095288186006021,0.2399434147049222,0.8029999999999999,With Self Activation,5.0
Density 20%_With Self Activation_Network_34,Lowered Density,Density 20%,0.6212497041654135,0.6059516882547581,-0.9488615793777648,0.5933708115328955,0.1775297784704441,0.795,With Self Activation,5.0
Density 20%_With Self Activation_Network_35,Lowered Density,Density 20%,0.5896147737345302,0.5946620075346043,-0.9507344714046244,0.569364161849711,0.2327246452968996,0.78,With Self Activation,5.0
Density 20%_With Self Activation_Network_36,Lowered Density,Density 20%,0.6931335264836328,0.6869289053800982,-0.9466482071136748,0.6961984536082474,0.2372207903780068,0.819,With Self Activation,5.0
Density 20%_With Self Activation_Network_37,Lowered Density,Density 20%,0.6634176516625243,0.6596757190001961,-0.951772573172254,0.6583196735604925,0.2510026854532138,0.8210000000000001,With Self Activation,5.0
Density 20%_With Self Activation_Network_38,Lowered Density,Density 20%,0.621765126611224,0.6247288902229492,-0.946513170377558,0.5773374941121056,0.1910327366933584,0.778,With Self Activation,5.0
Density 20%_With Self Activation_Network_39,Lowered Density,Density 20%,0.6387732912230895,0.6376846102464943,-0.9519869799132424,0.6191936279692677,0.260802142806795,0.806,With Self Activation,5.0
Density 20%_With Self Activation_Network_40,Lowered Density,Density 20%,0.6546785237883521,0.6791448380345495,-0.9506752004492728,0.6772501816573469,0.210817300097937,0.805,With Self Activation,5.0
Density 20%_With Self Activation_Network_41,Lowered Density,Density 20%,0.8299358931303157,0.8317667568042215,-0.9089401327055824,0.8643480034677954,0.3737059513488704,0.8049999999999999,With Self Activation,5.0
Density 20%_With Self Activation_Network_42,Lowered Density,Density 20%,0.7165830856018072,0.7245299502627214,-0.9400214996697728,0.7234509741296711,0.2850127754710955,0.8,With Self Activation,5.0
Density 20%_With Self Activation_Network_43,Lowered Density,Density 20%,0.593313566873233,0.5775603559529949,-0.9487766174566604,0.5599751695158055,0.1463088530226339,0.767,With Self Activation,5.0
