index,Core Density,CC AB,F1,Self Activation Status,Impurity
80_With Self Activation_Network_58,80,-0.8262101173974562,3.3333333333333337e-06,With Self Activation,40.0
80_With Self Activation_Network_59,80,0.6706249612809355,0.0,With Self Activation,40.0
80_With Self Activation_Network_60,80,-1.0,0.0,With Self Activation,40.0
80_With Self Activation_Network_61,80,-0.4148118215302718,0.0,With Self Activation,40.0
80_With Self Activation_Network_62,80,-0.9146152493349412,5.333333333333333e-05,With Self Activation,40.0
80_With Self Activation_Network_63,80,-0.6214717582447534,0.0036466666666666,With Self Activation,40.0
80_With Self Activation_Network_64,80,-0.115983034649328,0.0002033333333332,With Self Activation,40.0
80_With Self Activation_Network_65,80,0.9995691168921764,0.0,With Self Activation,40.0
80_With Self Activation_Network_66,80,-0.6515609857366068,0.0002599999999999,With Self Activation,40.0
80_With Self Activation_Network_67,80,-0.8935409950395362,1.0000000000000004e-05,With Self Activation,40.0
80_With Self Activation_Network_68,80,0.0637040904877424,0.0002333333333333,With Self Activation,40.0
80_With Self Activation_Network_69,80,-0.5218490596971255,0.0,With Self Activation,40.0
80_With Self Activation_Network_70,80,0.3841508918010236,0.0,With Self Activation,40.0
80_With Self Activation_Network_71,80,-0.9931061767556622,1e-05,With Self Activation,40.0
80_With Self Activation_Network_72,80,0.2711192559211146,0.0001933333333333,With Self Activation,40.0
80_With Self Activation_Network_73,80,-0.4919543798311744,0.0268333333333332,With Self Activation,40.0
80_With Self Activation_Network_74,80,-0.9527398319160932,0.0,With Self Activation,40.0
80_With Self Activation_Network_75,80,0.998929305504998,0.0,With Self Activation,40.0
80_With Self Activation_Network_76,80,-0.9360185578226766,0.0084833333333333,With Self Activation,40.0
80_With Self Activation_Network_77,80,1.0,0.0,With Self Activation,40.0
80_With Self Activation_Network_78,80,-0.9901121386266166,1.0000000000000004e-05,With Self Activation,40.0
80_With Self Activation_Network_79,80,0.7547927785244803,0.0159366666666666,With Self Activation,40.0
80_With Self Activation_Network_80,80,0.995834932882087,0.0,With Self Activation,40.0
80_With Self Activation_Network_81,80,-0.230782690682194,0.0232599999999999,With Self Activation,40.0
80_With Self Activation_Network_82,80,-0.5831272353407468,0.0004466666666666,With Self Activation,40.0
80_With Self Activation_Network_83,80,-0.8982798742924754,0.0020666666666666,With Self Activation,40.0
80_With Self Activation_Network_84,80,-0.5691690332212858,0.0,With Self Activation,40.0
80_With Self Activation_Network_85,80,-0.7653050680563711,0.0035399999999999,With Self Activation,40.0
